model,mlflow,crossval_split,amypro22 rocauc,serrano158 rocauc,serrano 158 mcc,split
ESM2 8M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/9ce7f66eb6f24268b4c941b5db0d9ce0,1,0.6541,0.909,0.449,embedding
ESM2 8M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/ab1952d5a68a4a66bcd988af8ce5d6a4,2,0.6779,0.906,0.458,embedding
ESM2 8M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/4ec1088b6f484939bb7c71c1ec7ceaca,3,0.6717,0.913,0.406,embedding
ESM2 8M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/a72943900a454e0a9df0f6d7f07d5e0e,4,0.6865,0.919,0.419,embedding
ESM2 8M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/a72943900a454e0a9df0f6d7f07d5e0e,5,0.702,0.914,0.436,embedding
ESM2 35M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/c56f3b32d5fe4fde903d5a684cc17d4e,1,0.6334,0.904,0.406,embedding
ESM2 35M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/0d88ef12a07249b9bd672984fc8abbdd,2,0.6364,0.906,0.425,embedding
ESM2 35M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/3af8326dd01c4896b1bba0377fda5489,3,0.6431,0.9,0.631,embedding
ESM2 35M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/82c4f5e879c64bdda82a4bc5c08e3e4b,4,0.6615,0.9,0.438,embedding
ESM2 35M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/59dac6968f534b02878cee164a3a24b4,5,0.6426,0.891,0.432,embedding
ESM2 150M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/05d8c7064c224b4b8836ed82bb41bf03,1,0.6063,0.884,0.393,embedding
ESM2 150M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/4fa9ecc7864143d1be5e017adc1dd1fe,2,0.6201,0.883,0.449,embedding
ESM2 150M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/ecf1318c008e4108b52f3a9ba2b4390a,3,0.6419,0.871,0.369,embedding
ESM2 150M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/cd7ed23dd0c8493aae794e7574ad3f66,4,0.6357,0.885,0.611,embedding
ESM2 150M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/f0fbe28a92b342c18f589c4bd4a7c982,5,0.634,0.885,0.413,embedding
ESM2 650M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/5490d8930bce4da492a7bb80f0913d30,1,0.5681,0.881,0.449,embedding
ESM2 650M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/7e3edda8ecdc4f468e91c3d08bcd7e92,2,0.5295,0.884,0.441,embedding
ESM2 650M,https://datalab.corp.novocorp.net/mlflow/#/experiments/380/runs/2241eed7d7a8443494b713f18c9b08f7,3,0.5568,0.89,0.424,embedding
