seq0 seq1 length score
serrano0 amypro0 199 (19.0)
serrano1 amypro0 199 (13.0)
serrano2 amypro0 199 (15.0)
serrano3 amypro0 199 (17.0)
serrano4 amypro0 221 (14.0)
serrano5 amypro0 203 (10.0)
serrano6 amypro0 212 (14.0)
serrano7 amypro0 199 (14.0)
serrano8 amypro0 208 (10.5)
serrano9 amypro0 199 (10.0)
serrano10 amypro0 216 (14.0)
serrano11 amypro0 199 (13.0)
serrano12 amypro0 199 (12.0)
serrano13 amypro0 200 (16.0)
serrano14 amypro0 199 (16.5)
serrano15 amypro0 220 (14.0)
serrano16 amypro0 199 (10.0)
serrano17 amypro0 199 (9.0)
serrano18 amypro0 199 (14.0)
serrano19 amypro0 209 (13.0)
serrano20 amypro0 199 (12.0)
serrano21 amypro0 230 (11.0)
serrano22 amypro0 200 (5.0)
serrano23 amypro0 199 (12.0)
serrano24 amypro0 208 (9.0)
serrano25 amypro0 199 (11.0)
serrano26 amypro0 199 (9.0)
serrano27 amypro0 201 (5.0)
serrano28 amypro0 199 (11.0)
serrano29 amypro0 208 (11.0)
serrano30 amypro0 200 (10.0)
serrano31 amypro0 199 (12.0)
serrano32 amypro0 209 (9.0)
serrano33 amypro0 202 (11.5)
serrano34 amypro0 199 (9.0)
serrano35 amypro0 199 (11.0)
serrano36 amypro0 199 (9.0)
serrano37 amypro0 208 (11.0)
serrano38 amypro0 199 (5.0)
serrano39 amypro0 199 (5.0)
serrano40 amypro0 199 (7.0)
serrano41 amypro0 199 (12.0)
serrano42 amypro0 199 (12.0)
serrano43 amypro0 199 (8.0)
serrano44 amypro0 199 (9.0)
serrano45 amypro0 199 (8.0)
serrano46 amypro0 203 (10.0)
serrano47 amypro0 199 (8.0)
serrano48 amypro0 219 (8.0)
serrano49 amypro0 199 (10.5)
serrano50 amypro0 200 (12.0)
serrano51 amypro0 199 (12.5)
serrano52 amypro0 199 (9.5)
serrano53 amypro0 199 (12.0)
serrano54 amypro0 201 (12.5)
serrano55 amypro0 199 (17.0)
serrano56 amypro0 199 (6.0)
serrano57 amypro0 199 (25.5)
serrano58 amypro0 204 (12.0)
serrano59 amypro0 199 (24.0)
serrano60 amypro0 199 (10.0)
serrano61 amypro0 199 (13.0)
serrano62 amypro0 199 (17.0)
serrano63 amypro0 199 (9.0)
serrano64 amypro0 199 (10.0)
serrano65 amypro0 200 (8.0)
serrano66 amypro0 199 (12.5)
serrano67 amypro0 199 (11.0)
serrano68 amypro0 199 (15.0)
serrano69 amypro0 199 (11.0)
serrano70 amypro0 201 (11.5)
serrano71 amypro0 199 (12.0)
serrano72 amypro0 199 (10.0)
serrano73 amypro0 199 (13.0)
serrano74 amypro0 204 (12.0)
serrano75 amypro0 201 (12.5)
serrano76 amypro0 199 (24.0)
serrano77 amypro0 199 (18.5)
serrano78 amypro0 199 (11.0)
serrano79 amypro0 205 (10.0)
serrano80 amypro0 199 (12.0)
serrano81 amypro0 201 (8.0)
serrano82 amypro0 199 (14.0)
serrano83 amypro0 199 (15.5)
